model,window_size,t_start,t_end,popt,R2,Tm1,protein,plate_ID,rep,well,ligand,Tm_D,Tm1_neg,dTm1,Tm_D_neg,dTm_D
mB,,25.0016,94.9409,[-1.37883784  0.33945894 -0.26244924  1.75502097  0.45646764  0.05015779],0.9949935353171391,56.92662756079328,B9,PM1,Rep02,B11,D-Mannitol,57.542805,75.4176646300518,-18.491037069258525,57.542805,0.0
mB,,25.0016,94.9409,[-1.18397827  0.30839125 -0.40046122  1.72618912  0.45767339  0.04556532],0.996666348089715,57.01095628621232,B9,PM1,Rep02,B12,L-Glutamic Acid,57.542805,75.4176646300518,-18.406708343839483,57.542805,0.0
mB,,25.0016,94.9409,[-1.18910486  0.31828707 -0.50008258  1.75755119  0.45182284  0.04092022],0.9959780167269744,56.60177345142081,B9,PM1,Rep02,C01,D-Glucose-6-Phosphate,57.542805,75.4176646300518,-18.81589117863099,57.542805,0.0
mB,,25.0016,94.9409,[-0.96182316  0.28903916  0.15980325  1.10121212  0.43673151  0.02799629],0.9649939952140614,55.54629604171066,B9,PM1,Rep02,C02,D-Galactonic Acid-gamma-Lactone,57.542805,75.4176646300518,-19.87136858834114,57.542805,0.0
mB,,25.0016,94.9409,[-1.40271438  0.35300704 -0.21674091  1.67659727  0.45323938  0.04786564],0.9959468428898688,56.700844760611275,B9,PM1,Rep02,C03,DL-Malic Acid,57.057114,75.4176646300518,-18.716819869440528,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.11195293  0.30086504 -0.44858467  1.65019476  0.4573358   0.04177338],0.9976564413933924,56.98734571590661,B9,PM1,Rep02,C04,D-Ribose,57.542805,75.4176646300518,-18.43031891414519,57.542805,0.0
mB,,25.0016,94.9409,[-1.2120424   0.39286481 -1.07893917  1.89718326  0.46889071  0.02475404],0.992468705635821,57.795488104781,B9,PM1,Rep02,C05,Tween 20,58.999874,75.4176646300518,-17.622176525270802,57.542805,1.457068999999997
mB,,25.0016,94.9409,[-1.15699451  0.2957077  -0.5785902   1.78931302  0.46632428  0.04842316],0.9982481814701623,57.61599400560911,B9,PM1,Rep02,C06,L-Rhamnose,57.542805,75.4176646300518,-17.801670624442693,57.542805,0.0
mB,,25.0016,94.9409,"[ 1.38661621e+00 -9.34634360e-02 -3.13777671e+00  2.22927731e+00
  7.47813970e-01  4.70214567e-05]",0.6586702218951765,77.30318557485525,B9,PM1,Rep02,C07,D-Fructose,58.028492,75.4176646300518,1.8855209448034458,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-0.9344833   0.27894197 -0.54186187  1.57019007  0.4530566   0.03199253],0.9934234166852871,56.68806121656203,B9,PM1,Rep02,C08,Acetic Acid,58.028492,75.4176646300518,-18.72960341348977,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.29809003  0.32612795 -0.46957285  1.8023283   0.46293258  0.05064925],0.9962651119315514,57.37878083214905,B9,PM1,Rep02,C09,alpha-D-Glucose,57.057114,75.4176646300518,-18.038883797902756,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.1901854   0.29924353 -0.44261809  1.71358553  0.47074275  0.05280096],0.9962142661816803,57.9250183887883,B9,PM1,Rep02,C10,Maltose,57.542805,75.4176646300518,-17.4926462412635,57.542805,0.0
mB,,25.0016,94.9409,[-1.05509699  0.28912274 -0.57093745  1.73428004  0.45856524  0.04036374],0.9964366672038311,57.07333173518268,B9,PM1,Rep02,C11,D-Melibiose,58.028492,75.4176646300518,-18.344332894869126,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.36222187  0.34736224 -0.27534342  1.74138557  0.45653872  0.04790997],0.9962805666978551,56.931598531155075,B9,PM1,Rep02,C12,Thymidine,57.057114,75.4176646300518,-18.48606609889673,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.09539151  0.30609995 -0.51244983  1.67977812  0.4497564   0.03689361],0.9959054562920309,56.45724749888995,B9,PM1,Rep02,D01,L-Asparagine,57.542805,75.4176646300518,-18.960417131161854,57.542805,0.0
mB,,25.0016,94.9409,[-1.02156823  0.31559122  0.36778552  0.92793018  0.43159782  0.02535477],0.9379856179222836,55.18724960227738,B9,PM1,Rep02,D02,D-Aspartic Acid,57.542805,75.4176646300518,-20.23041502777442,57.542805,0.0
mB,,25.0016,94.9409,[-0.93176241  0.29464054  0.01386747  1.05590249  0.434322    0.02334791],0.9672715850058005,55.37777654660131,B9,PM1,Rep02,D03,D-Glucosaminic Acid,57.542805,75.4176646300518,-20.039888083450492,57.542805,0.0
mB,,25.0016,94.9409,[-1.19908987  0.31335424 -0.40482227  1.70853886  0.45569892  0.04456203],0.9958385144449918,56.872863160174745,B9,PM1,Rep02,D04,1_2-Propanediol,57.542805,75.4176646300518,-18.544801469877058,57.542805,0.0
mB,,25.0016,94.9409,[-1.36239448  0.72512127 -0.57834667  1.20232265  0.46629629  0.01478147],0.9764155367398689,57.61403593310851,B9,PM1,Rep02,D05,Tween 40,58.514183,75.4176646300518,-17.803628696943292,57.542805,0.9713780000000014
mB,,25.0016,94.9409,[-1.89618313  0.34649048 -0.52788446  2.43625361  0.48935093  0.08807409],0.9793295073583649,59.226461667258874,B9,PM1,Rep02,D06,alpha-Keto-Glutaric Acid,67.74229,75.4176646300518,-16.19120296279293,57.542805,10.199484999999996
mB,,25.0016,94.9409,[-0.96147896  0.273568   -0.64006703  1.67999551  0.45603487  0.03553966],0.9951092682281968,56.896359785910086,B9,PM1,Rep02,D07,alpha-Keto-Butyric Acid,58.028492,75.4176646300518,-18.521304844141717,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.04874712  0.29438443 -0.43945927  1.60194333  0.4537606   0.03708846],0.9966686472319818,56.737298876355254,B9,PM1,Rep02,D08,alpha-Methyl-D-Galactoside,58.028492,75.4176646300518,-18.68036575369655,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.88817423  0.39181597  0.2670342   1.65956103  0.44558243  0.06740274],0.9567663301368717,56.16532296416502,B9,PM1,Rep02,D09,alpha-D-Lactose,57.057114,75.4176646300518,-19.25234166588678,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.0224823   0.29319924 -0.50624099  1.61911968  0.45591414  0.03678065],0.9922385111534893,56.88791605088103,B9,PM1,Rep02,D10,Lactulose,58.028492,75.4176646300518,-18.52974857917077,57.542805,0.48568699999999865
mB,,25.0016,94.9409,[-1.09555922  0.30314153 -0.46167156  1.64129828  0.45388474  0.03910242],0.9954134930007142,56.745980674241906,B9,PM1,Rep02,D11,Sucrose,57.542805,75.4176646300518,-18.671683955809897,57.542805,0.0
mB,,25.0016,94.9409,[-1.23673553  0.33495984 -0.2210887   1.54919906  0.44898086  0.04047562],0.9931444168349829,56.40300741131932,B9,PM1,Rep02,D12,Uridine,57.057114,75.4176646300518,-19.01465721873248,57.542805,-0.48569100000000276
mB,,25.0016,94.9409,[-1.18077747  0.31769421 -0.44353016  1.69335689  0.44888167  0.03994372],0.9976943445614245,56.396069889746244,B9,PM1,Rep02,E01,L-Glutamine,57.057114,75.4176646300518,-19.02159474030556,57.542805,-0.48569100000000276
